source,target
2975,6384
2975,530
2975,1667883
2975,1232548
2975,1107983
2975,52057
2975,110380
2975,3084
2975,3087
2975,8349
2975,1776
2975,37872
2975,8328
2975,5141
2975,5139
2975,5140
6384,530
6384,64
6384,1776
6384,564
6384,584
530,529
530,532
530,1954
530,20959
530,11521
1667883,1232548
1667883,37625
1667883,65731
1667883,4937
1107983,52057
1107983,110380
1107983,180659
1107983,1280183
1107983,181934
1107983,2787630
1107983,89289
1107983,2102583
1107983,73988
1107983,2803017
1107983,2954
1107983,33663
1107983,937663
1107983,1931175
1107983,1700943
1107983,938972
1107983,1236595
1107983,1209864
1107983,2685726
1107983,2764421
52057,110380
52057,8654
52057,104053
52057,2535
52057,225620
52057,1038
52057,4173
52057,349
110380,4587
110380,9780
110380,19011
110380,146687
110380,1122373
110380,1122374
110380,1122375
3084,3087
3084,8349
3084,9857
3084,5248
3084,1158
3084,1662371
3084,82702
3084,65605
3084,47775
3084,14386
3084,4483
3084,13570
3084,3417
3084,1776
3084,37872
3084,8328
3087,8349
3087,1158
3087,380
3087,106179
3087,10190
3087,5250
3087,12132
3087,2130
3087,3810
3087,72305
3087,44735
3087,3037
3087,4951
3087,1776
3087,8487
3087,8490
3087,6838
3087,37872
3087,8328
8349,3203
8349,7862
8349,11367
8349,31028
8349,3266
8349,36059
8349,5606
8349,1179102
8349,21010
8349,101032
8349,928944
8349,2022250
8349,9979
8349,514
8349,6193
8349,1892
8349,7796
8349,851784
8349,125025
8349,122889
8349,2641
8349,72028
8349,1776
8349,37872
8349,8328
8349,4724
8349,66743
8349,1461
8349,2098136
8349,2098137
8349,5141
8349,5139
8349,5140
1776,37872
1776,8328
1776,1
1776,7879
1776,5064
1776,488
1776,2559324
1776,27888
1776,2303
1776,5293
1776,3037
1776,4951
1776,1032
1776,1150
1776,64
1776,1243
1776,510
1776,55983
1776,7908
1776,1158
1776,134
1776,1006721
1776,3083483
1776,3
37872,8328
37872,3037
37872,4951
8328,3037
8328,4951
8328,14782
8328,190
8328,147
8328,2378014
8328,2046262
8328,1381997
5141,5139
5141,5140
5141,11784
5141,78021
5141,16847
5141,2714
5139,5140
5139,4955
5139,27995
5139,102429
5139,102334
5139,44762
5139,100360
5139,62596
5139,64722
5139,11357
5139,16178
5139,16847
5139,2714
5139,20903
5139,22082
5139,19506
5139,11770
5139,515
5139,43774
5139,99596
5139,61956
5140,4955
5140,11357
5140,44762
5140,16178
5140,113
5140,3027
5140,131120
64,1415341
64,1267653
64,1003
64,524
64,3894
64,1810
64,3895
64,10980
64,10989
64,10990
64,219479
64,1101349
564,14538
564,7779
564,1820819
564,569
564,584
564,1146
564,1117999
529,532
529,46300
529,27889
529,1331
532,6384
532,2975
532,7187
532,57371
532,3034
1954,20959
1954,11521
1954,116474
1954,13920
1954,8659
1954,41381
1954,21596
1954,8658
1954,56097
1954,2048
1954,7218
1954,25308
1954,20805
1954,940
1954,132206
1954,29459
1954,198642
1954,521
1954,1062
1954,1063
20959,11521
20959,57829
20959,68750
20959,6861
20959,36811
20959,2395
20959,44796
20959,9780
20959,77896
20959,9979
20959,9789
20959,6449
11521,777
11521,2266
37625,65731
37625,4937
37625,78729
37625,438859
37625,120886
37625,1112923
65731,2710
65731,8691
65731,4937
4937,40462
4937,1532312
4937,1294982
4937,1357
4937,531
4937,4492
180659,1280183
180659,1408141
181934,54422
181934,2535
181934,2391
181934,82702
181934,3635
2787630,89289
2787630,938972
2787630,1386798
2787630,100709
2787630,21111
2787630,2802990
2787630,2803001
2787630,2803017
2787630,13348
89289,117418
89289,1188876
89289,52057
89289,110380
89289,1122373
89289,1122374
89289,1122375
89289,181934
89289,1280183
89289,61399
89289,1232728
89289,1723195
2102583,73988
73988,21111
73988,1050881
73988,2954
73988,33663
73988,57738
73988,1141815
73988,937663
73988,1931175
73988,1074129
73988,2066306
73988,173729
73988,1700943
73988,938972
73988,1236595
73988,1209864
73988,2685726
73988,2764421
2954,33663
2954,1184462
2954,4173
2954,25072
2954,3910
2954,1241
2954,72129
2954,10943
2954,1158
2954,134
33663,1145892
33663,227811
33663,1222706
33663,1167702
33663,1167703
33663,557911
33663,1748
33663,2323039
33663,2339577
33663,10127
33663,1229169
33663,112219
33663,56446
33663,1200537
33663,1816204
33663,1816207
33663,151043
33663,77120
33663,2569912
33663,2601848
33663,1173567
33663,21216
33663,58792
33663,16620
33663,1700943
33663,938972
33663,1236595
33663,2161106
33663,2161107
33663,2161104
33663,82702
33663,3635
33663,2255261
33663,4960
33663,15753
33663,1103791
33663,95678
33663,5469
33663,2398868
33663,3203938
33663,567335
33663,115788
937663,937664
937663,937665
937663,1931175
1700943,938972
1700943,1236595
938972,1236595
938972,2791669
938972,2791670
938972,1262488
938972,10055
938972,81724
1236595,2130
1236595,16431
1236595,2203
1209864,2685726
1209864,2764421
2685726,2764421
8654,2059
8654,7132
8654,104053
8654,1357571
8654,1357572
8654,21278
8654,13724
104053,64825
104053,175981
104053,21246
104053,94814
2535,225620
2535,2654014
2535,2673964
2535,21563
2535,2391
2535,139
2535,140
2535,58924
2535,21355
2535,1922617
2535,587035
2535,154382
2535,31134
2535,74613
2535,2545
2535,138
2535,1220781
2535,115002
2535,7447
2535,88620
2535,19961
2535,180986
225620,1142230
225620,105762
225620,1142232
1038,4173
1038,349
1038,380
1038,13
1038,2406
1038,3116407
1038,123337
1038,1184462
1038,2954
4173,5049
4173,10774
4173,39187
4173,34546
4173,349
4173,1184462
4173,7447
4173,9560
349,12021
349,18248
349,59219
349,9825
349,1137
349,11770
349,515
349,3084
349,3087
349,8349
4587,33181
4587,63611
4587,9780
4587,53574
4587,10696
4587,2710
4587,1160
4587,1813
4587,37153
4587,70243
4587,15973
4587,8891
4587,44038
9780,44796
9780,77896
9780,35705
9780,143242
9780,134
9780,56323
9780,78577
9780,3223
9780,16828
9780,103
19011,1189929
19011,7904
19011,146687
19011,2801284
19011,1066763
19011,8261
19011,50707
19011,1670479
19011,1625013
19011,84384
19011,1322032
19011,1322033
19011,1700943
19011,938972
19011,1236595
19011,2130
19011,16431
19011,2203
146687,2203808
146687,1189929
146687,1220273
146687,1442410
146687,1442411
146687,1306064
146687,174981
146687,28626
146687,3614
146687,37759
146687,20056
146687,2330903
1122373,1122374
1122373,1122375
1122374,1122375
9857,5248
9857,7447
9857,9560
5248,32377
5248,9762
5248,1936
5248,5247
5248,30233
5248,19550
5248,80237
1158,1159
1158,1160
1158,380
1158,134
1158,39996
1158,1032
82702,1227278
82702,2636676
82702,134710
82702,134711
82702,2687948
82702,108881
82702,926
82702,1905
82702,4610
82702,16178
82702,10750
82702,1234966
82702,65605
82702,47775
82702,2426206
82702,2284427
82702,5657
82702,11510
82702,18793
82702,3635
82702,14386
82702,110001
82702,122750
82702,109897
82702,6352
82702,13301
82702,1201284
82702,140567
82702,20156
82702,4347
82702,4299
82702,37934
82702,15310
82702,45042
82702,553721
82702,1789239
82702,27011
82702,8851
82702,543105
65605,990578
65605,1056814
65605,47775
65605,107375
65605,2712640
65605,65606
65605,87919
47775,87496
47775,2550161
47775,5723
47775,63522
47775,94759
47775,11695
47775,893
14386,84932
14386,4720
14386,1610514
14386,1214573
14386,93527
14386,119589
14386,9030
14386,2178
14386,3635
14386,104779
14386,81130
14386,81131
14386,81132
14386,102786
14386,964843
14386,37934
14386,15310
14386,65605
14386,47775
14386,167662
14386,1564846
14386,62644
14386,32362
4483,13570
4483,3417
4483,73931
4483,142439
4483,109404
4483,863
4483,7447
4483,9560
4483,21278
4483,13724
4483,9979
4483,9789
4483,6449
4483,707
4483,11850
4483,9274
4483,19803
4483,1084298
13570,3417
3417,12021
3417,349
3417,18248
3417,35
3417,21399
3417,21278
3417,13724
380,13
380,4512
380,4513
380,4430
380,4517
380,14702
380,4690
380,3096
380,11477
380,73421
380,1545693
380,1032
380,819
380,1259
380,19665
380,11478
380,6193
380,1006721
380,67773
380,3092
380,519
380,73641
380,1202593
380,33684
380,138986
380,53397
380,7904
380,7447
380,85564
380,2255261
380,4960
380,15753
380,61110
380,707
106179,4959
106179,78934
106179,10190
106179,5250
106179,33741
106179,70985
106179,326
106179,1747292
10190,5250
10190,50967
5250,1936
5250,5247
5250,5248
5250,940155
5250,86104
5250,231773
12132,2130
12132,32749
12132,6804
12132,69302
12132,65529
12132,113674
12132,1121
12132,543530
12132,234352
12132,17605
12132,56446
12132,4027
12132,1223867
12132,46348
2130,16431
2130,2203
2130,15110
2130,3026
2130,64
2130,1776
2130,2127
2130,2128
2130,29704
2130,1913149
3810,72305
3810,44735
3810,2744
3810,3131
3810,98357
72305,44735
72305,34902
44735,880
44735,73968
44735,90633
3037,4951
3037,2090
3037,18972
3037,1
3037,155890
3037,2210813
3037,2879828
4951,1
4951,7879
8487,8490
8487,6838
8487,20156
8487,4347
8487,4299
8487,1032
8487,1150
8487,1776
8490,6838
8490,1158
8490,380
3203,7862
3203,6804
3203,69302
3203,65529
3203,70899
3203,42626
7862,7447
7862,9560
11367,31028
31028,192
31028,287
31028,12052
3266,26009
3266,1067583
3266,36059
3266,33
3266,5149
3266,10427
3266,2710
3266,2144
3266,141
3266,2505
36059,8213
5606,54693
5606,19492
5606,6944
21010,101032
21010,76184
21010,30672
21010,1183966
21010,45002
21010,20861
21010,39770
21010,34721
21010,83908
21010,1748
21010,8499
21010,16896
21010,8857
21010,15395
928944,2022250
928944,9979
2022250,9979
9979,56890
9979,46393
9979,9789
9979,6449
9979,82128
9979,1353815
9979,20212
9979,21818
9979,12967
9979,13567
9979,25834
9979,118764
9979,1189209
9979,2993220
9979,3199207
9979,1204293
9979,27116
9979,57829
9979,1066777
9979,65013
9979,4808
9979,7447
9979,9560
